num,url,coder1,coder2,final_label
1_Q48,https://pbs.twimg.com/media/DZzstyZVMAAq7qN.jpg,men/close shots,crowd,No Agreement
2_Q48,https://pbs.twimg.com/media/DZzstycU0AACSiR.jpg,crowd,crowd,crowd
3_Q48,https://pbs.twimg.com/media/DZzstydU0AAoKxm.jpg,violations,women and children/close shots,No Agreement
4_Q48,https://pbs.twimg.com/media/DZzvISeV4AABCyl.jpg,crowd,crowd,crowd
5_Q48,https://pbs.twimg.com/media/DZzvISsVMAAimCa.jpg,women and children/close shots,women and children/close shots,women and children/close shots
6_Q48,https://pbs.twimg.com/media/DZzwhqxVwAA5BTe.jpg,women and children/close shots,women and children/close shots,women and children/close shots
7_Q48,https://pbs.twimg.com/media/DZzwhrBVAAAh3xY.jpg,crowd,crowd,crowd
8_Q48,https://pbs.twimg.com/media/DZzxNL5VQAA6orq.jpg,crowd,crowd,crowd
9_Q48,https://pbs.twimg.com/media/DZzxNL7VwAAyVRJ.jpg,men/close shots,men/close shots,men/close shots
10_Q48,https://pbs.twimg.com/media/DZzxNMMU8AAgXKF.jpg,women and children/close shots,women and children/close shots,women and children/close shots
11_Q48,https://pbs.twimg.com/media/DZz0lHBU8AA-nht.jpg,crowd,crowd,crowd
12_Q48,https://pbs.twimg.com/media/DZz0lqgVQAAi26z.jpg,crowd,crowd,crowd
13_Q48,https://pbs.twimg.com/media/DZ3mGv2W4AE55JC.jpg,men/close shots,crowd,No Agreement
14_Q48,https://pbs.twimg.com/media/DZ3mH8GX0AA5uPf.jpg,crowd,crowd,crowd
15_Q48,https://pbs.twimg.com/media/DZ3nXVsWAAE0ZNp.jpg,women and children/close shots,women and children/close shots,women and children/close shots
16_Q48,https://pbs.twimg.com/media/DZ3nXV2WkAA4DIh.jpg,men/close shots,men/close shots,men/close shots
17_Q48,https://pbs.twimg.com/media/DZ4cFdZW0AEKEU_.jpg,men/close shots,men/close shots,men/close shots
18_Q48,https://pbs.twimg.com/media/DZ4cFdfX0AAsM4P.jpg,camps,women and children/close shots,No Agreement
19_Q48,https://pbs.twimg.com/media/DZ4cFcjX4AIdsS9.jpg,women and children/close shots,women and children/close shots,women and children/close shots
20_Q48,https://pbs.twimg.com/media/DZ4cMAAUMAA90Le.jpg,crowd,crowd,crowd
21_Q48,https://pbs.twimg.com/media/DZ4cNngUMAElFlv.jpg,women and children/close shots,women and children/close shots,women and children/close shots
22_Q48,https://pbs.twimg.com/media/DZ4cNrMUQAAXOGi.jpg,women and children/close shots,women and children/close shots,women and children/close shots
23_Q48,https://pbs.twimg.com/media/DZ77Hs7VMAAqi8-.jpg,women and children/close shots,women and children/close shots,women and children/close shots
24_Q48,https://pbs.twimg.com/media/DZ77H7xVMAAuSaI.jpg,women and children/close shots,women and children/close shots,women and children/close shots
25_Q48,https://pbs.twimg.com/media/DZ77ILkU0AAZpFw.jpg,camps,crowd,No Agreement
26_Q48,https://pbs.twimg.com/media/DZ8NKE0W4AE12OU.jpg,camps,camps,camps
27_Q48,https://pbs.twimg.com/media/DZ8NKQEWsAANJGF.jpg,violations,women and children/close shots,No Agreement
28_Q48,https://pbs.twimg.com/media/DZ8NKdFWAAAzEGV.jpg,men/close shots,men/close shots,men/close shots
29_Q48,https://pbs.twimg.com/media/DaBqk0iU0AAjsWT.jpg,crowd,crowd,crowd
30_Q48,https://pbs.twimg.com/media/DaBqkW5U8AE0PBw.jpg,crowd,crowd,crowd
31_Q48,https://pbs.twimg.com/media/DaBqkZeU0AIrGH2.jpg,men/close shots,men/close shots,men/close shots
32_Q48,https://pbs.twimg.com/media/DaBqkX2VMAIEGuX.jpg,women and children/close shots,women and children/close shots,women and children/close shots
33_Q48,https://pbs.twimg.com/media/DaCgfZuU0AAxfVg.jpg,crowd,women and children/close shots,No Agreement
34_Q48,https://pbs.twimg.com/media/DaCggCyUQAAGG_U.jpg,women and children/close shots,women and children/close shots,women and children/close shots
35_Q48,https://pbs.twimg.com/media/DaCggr0VMAAsJHU.jpg,men/close shots,crowd,No Agreement
36_Q48,https://pbs.twimg.com/media/DaDwXqBW4AAbkjM.jpg,crowd,crowd,crowd
37_Q48,https://pbs.twimg.com/media/DaDwXpqX4AAQ3Rw.jpg,crowd,crowd,crowd
38_Q48,https://pbs.twimg.com/media/DaDwXqYW4AEsd9R.jpg,men/close shots,men/close shots,men/close shots
39_Q48,https://pbs.twimg.com/media/DaDwXpbW4AEZa5B.jpg,women and children/close shots,women and children/close shots,women and children/close shots
40_Q48,https://pbs.twimg.com/media/DaVzGRkU0AEQHLn.jpg,men/close shots,OTHER,No Agreement
41_Q48,https://pbs.twimg.com/media/DaVzGFeUQAUFpp4.jpg,men/close shots,men/close shots,men/close shots
42_Q48,https://pbs.twimg.com/media/DaVzGG3UwAYks4Y.jpg,men/close shots,men/close shots,men/close shots
43_Q48,https://pbs.twimg.com/media/Da-DA93X0AApz_O.jpg,women and children/close shots,women and children/close shots,women and children/close shots
44_Q48,https://pbs.twimg.com/media/Da-DBJaX4AE9pRb.jpg,crowd,crowd,crowd
45_Q48,https://pbs.twimg.com/media/Da-DBUkXcAEDydV.jpg,women and children/close shots,men/close shots,No Agreement
46_Q48,https://pbs.twimg.com/media/DbFcd6wU8AAp5Nm.jpg,crowd,crowd,crowd
47_Q48,https://pbs.twimg.com/media/DbFcd4hU0AAR0fM.jpg,women and children/close shots,women and children/close shots,women and children/close shots
48_Q48,https://pbs.twimg.com/media/DbFcd7dVwAAgwgR.jpg,crowd,crowd,crowd
49_Q48,https://pbs.twimg.com/media/DbFcd9iVwAAY-WP.jpg,men/close shots,men/close shots,men/close shots
50_Q48,https://pbs.twimg.com/media/DbKPpSxW4AAYlTa.jpg,crowd,crowd,crowd
