news_source,mfch_rating,allsides_url,url,bias_rating,twitter_link,twitter_user,twitter_user2,is_tweet,instagram_user,instagram_user2,gov_official,uncertainty,comments,html_files,actor,status_edrev,status_commfeed,count_commfeed,status_blind,status_third,sources_third,confidence
Aaron Rupar,,https://www.allsides.com/news-source/aaron-rupar-media-bias,NA,71,https://twitter.com/atrupar,atrupar,NA,1,NA,NA,NA,NA,NA,Aaron Rupar.html,Author,checked0,checked1,117,checked0,checked0,NA,Low or Initial Rating
Aaron Withe,,https://www.allsides.com/news-source/aaron-withe-media-bias,NA,75,https://twitter.com/AaronWithe?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,AaronWithe,NA,1,NA,NA,NA,NA,NA,Aaron Withe.html,Author,checked0,checked1,130,checked0,checked0,NA,Low or Initial Rating
AARP,,https://www.allsides.com/news-source/aarp-media-bias,http://www.aarp.org/,73,https://twitter.com/AARP,AARP,NA,1,aarp,NA,NA,NA,NA,AARP.html,Think Tank / Policy Group,checked0,checked1,5691,checked0,checked0,NA,na
ABC News (Online),LEFT-CENTER,https://www.allsides.com/news-source/abc-news-media-bias,http://abcnews.go.com/,72,https://twitter.com/ABC?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,ABC,NA,1,abcnews,NA,NA,NA,NA,ABC News (Online).html,News Media,checked0,checked1,54498,checked1,checked1,"Third-Party Analysis: 2014 Pew Research Center Study - Where News Audiences Fit on the Political Spectrum, UCLA 2005",High
Above The Law,LEFT-CENTER,https://www.allsides.com/news-source/above-law-media-bias,NA,72,https://twitter.com/atlblog?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,atlblog,NA,1,NA,NA,NA,NA,NA,Above The Law.html,News Media,checked0,checked1,431,checked0,checked0,NA,Low or Initial Rating
Abridge News,,https://www.allsides.com/news-source/abridge-news-media-bias,https://abridgenews.com,2707,https://twitter.com/Abridge_News,Abridge_News,NA,1,abridgenews,NA,NA,NA,NA,Abridge News.html,News Media,checked0,checked1,670,checked0,checked0,NA,High
Accuracy in Media,,https://www.allsides.com/news-source/accuracy-media,http://www.aim.org,75,https://twitter.com/AccuracyInMedia,AccuracyInMedia,NA,1,accuracyinmedia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACLU,,https://www.allsides.com/news-source/american-civil-liberties-union,https://www.aclu.org/,72,https://twitter.com/@ACLU,ACLU,NA,1,aclu_nationwide,NA,NA,NA,NA,ACLU.html,Think Tank / Policy Group,checked0,checked1,5360,checked0,checked0,NA,na
Adam Schiff,,https://www.allsides.com/news-source/adam-schiff-media-bias,NA,72,https://twitter.com/RepAdamSchiff?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,RepAdamSchiff,NA,1,NA,NA,1,NA,NA,Adam Schiff.html,"Candidate, Campaign or Advocate",checked0,checked1,83,checked0,checked0,NA,Low or Initial Rating
AFP Fact Check,,https://www.allsides.com/news-source/afp-fact-check-media-bias,https://factcheck.afp.com/,73,https://twitter.com/AFPFactCheck,AFPFactCheck,NA,1,afpfactcheck,NA,NA,NA,NA,AFP Fact Check.html,Fact Check,checked0,checked1,308,checked0,checked0,NA,Low or Initial Rating
AJ+,,https://www.allsides.com/news-source/aj-media-bias,https://www.ajplus.net/,71,https://twitter.com/ajplus,ajplus,NA,1,ajplus,NA,NA,NA,NA,AJ+.html,News Media,checked0,checked1,846,checked0,checked0,NA,Low or Initial Rating
Al Cardenas,,https://www.allsides.com/news-source/al-cardenas,NA,75,https://twitter.com/AlCardenasFL_DC?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,AlCardenasFL_DC,NA,1,NA,NA,NA,NA,NA,Al Cardenas.html,Author,checked0,checked1,865,checked0,checked0,NA,na
Al Jazeera,LEFT-CENTER,https://www.allsides.com/news-source/al-jazeera-media-bias,https://www.aljazeera.com/,72,https://twitter.com/@AJEnglish,AJEnglish,NA,1,aljazeeraenglish,NA,NA,NA,NA,Al Jazeera.html,News Media,checked0,checked1,12342,checked0,checked0,NA,Low or Initial Rating
Alan Dershowitz,,https://www.allsides.com/news-source/alan-dershowitz-media-bias,NA,74,https://twitter.com/alandersh,AlanDersh,NA,1,NA,NA,NA,NA,NA,Alan Dershowitz.html,Author,checked0,checked1,689,checked0,checked0,NA,Low or Initial Rating
Alison Lundergan Grimes,,https://www.allsides.com/news-source/alison-lundergan-grimes,http://alisonforkentucky.com/,71,https://twitter.com/AlisonForKY,AlisonForKY,NA,1,alisonforky,NA,NA,NA,NA,Alison Lundergan Grimes.html,"Candidate, Campaign or Advocate",checked0,checked1,617,checked0,checked0,NA,na
