"","X.x","image","img_name_noext","clusterid","selected","tweet_id","X.y","author_id","text","created_at.x","location","name","username","actor","allsides_url","bias_rating","ideology"
"1",2,"1094333124115337216_4.jpg","1094333124115337216_4",0,1,"1094333124115337216",4691,44513878,"1/ It has been days since roughly 1,600 migrants arrived at the Texas-Mexico border. 

They're waiting in a warehouse in Mexico. But processing is slow. Tensions are high.

Here’s what we know about this migrant caravan. https://t.co/tYpKMH50Cg

Photos by @mgutierrezjr https://t.co/IvvEPQSQqN","2019-02-09T20:32:03.000Z","Austin, Texas","Texas Tribune","TexasTribune",NA,NA,NA,NA
"2",11,"1055837850598555654.jpg","1055837850598555654",2,1,"1055837850598555654",4287,15164565,"Is Trump trying to hold the asylum process hostage in exchange for harsh immigration legislation https://t.co/IZmTYJ5ff0 https://t.co/LnXgCrfwSp","2018-10-26T15:05:34.000Z",NA,"Slate","Slate","News Media","https://www.allsides.com/news-source/slate",71,"  Very
Liberal"
"3",18,"1087809398439694336.jpg","1087809398439694336",3,1,"1087809398439694336",1079,237888723,"Mexican authorities nab Salvadoran gang enforcer embedded in new migrant caravan headed for U.S. https://t.co/kDYN4QXZkU https://t.co/QkZJ7ixak8","2019-01-22T20:29:05.000Z","West Palm Beach, Florida","Conservative News","BIZPACReview","News Media","https://www.allsides.com/news-source/bizpac-review-media-bias",75,"Very
Conservative"
"4",30,"1053124615097253888.jpg","1053124615097253888",1,1,"1053124615097253888",1733,15012486,"First migrants in caravan reach Mexico's southern border, government says https://t.co/kHKzRrCRmn https://t.co/oJ82va5Hmx","2018-10-19T03:24:09.000Z","New York, NY","CBS News","CBSNews","News Media","https://www.allsides.com/news-source/cbs-news-media-bias",72," Moderate
Liberal"
"5",37,"1073249745597022209.jpg","1073249745597022209",1,1,"1073249745597022209",4431,39308549,"FACT CHECK: Did Tomi Lahren Accuse Migrants Of Bringing Disease To The US With ‘Zero Evidence’? https://t.co/nVtx2Scltb https://t.co/25Mo5dpYTC","2018-12-13T16:14:14.000Z","Washington, DC","Daily Caller","DailyCaller","News Media","https://www.allsides.com/news-source/daily-caller",75,"Very
Conservative"
"6",55,"1057311673915183104.jpg","1057311673915183104",1,1,"1057311673915183104",4760,44513878,"5/ This is José. He's 40. 

He was earning $84 dollars per week. Half of that went to gangs. He could not afford to support his family with $42 dollars per week.

""It just breaks my heart when my kids ask, 'Dad, I am hungry, what are we going to eat?'"" 

https://t.co/ug8QY90w3V https://t.co/PVxQWQaa0C","2018-10-30T16:42:01.000Z","Austin, Texas","Texas Tribune","TexasTribune",NA,NA,NA,NA
"7",61,"1054230038252584960.jpg","1054230038252584960",3,1,"1054230038252584960",1713,7313362,"Thousands of Honduran migrants fleeing violence at home streamed through southern Mexico on Sunday heading toward the United States, after making an end-run around Mexican agents who briefly blocked them at the Guatemalan border. https://t.co/x8HmDGC0hI https://t.co/W3N8HqDPJD","2018-10-22T04:36:42.000Z","Chicago, IL","Chicago Tribune","chicagotribune","News Media","https://www.allsides.com/news-source/chicago-tribune",73,"Moderate"
"8",69,"1058324115097088000.jpg","1058324115097088000",0,1,"1058324115097088000",5272,2884771,"A politically motivated waste of money—Pentagon sources on Trump's surprise border mission https://t.co/DvR2yJGu49 https://t.co/HSTqFBFqwN","2018-11-02T11:45:06.000Z","New York, NY","Newsweek","Newsweek","News Media","https://www.allsides.com/news-source/newsweek",73,"Moderate"
"9",76,"1052647952790028288.jpg","1052647952790028288",3,1,"1052647952790028288",2230,19417492,"Migrant Caravan Makes Way through Guatemala Despite Trump Threats https://t.co/Zhxuv2pLec via @JohnsonHildy https://t.co/kFa7wjPijG","2018-10-17T19:50:03.000Z","New York","National Review","NRO",NA,NA,NA,NA
"10",78,"1055623008033730561.jpg","1055623008033730561",2,1,"1055623008033730561",5355,1209936918,"Pres. Trump Tells Migrant Caravan To Turn Around And Go Home - https://t.co/MeDIb9ORxj #OAN https://t.co/yx5HRb4xeZ","2018-10-26T00:51:52.000Z",NA,"One America News","OANN","News Media","https://www.allsides.com/news-source/one-america-news-network-media-bias",75,"Very
Conservative"
